left_eye_left_side_white,left_eye_right_side_white,right_eye_left_side_white,right_eye_right_side_white,left_ratio,right_ratio,eye_ratio
2,14,30,28,0.14,0.14,0.14
7,15,33,27,0.47,0.47,0.47
11,16,36,37,0.69,0.69,0.69
8,13,38,33,0.62,0.62,0.62
10,15,38,31,0.67,0.67,0.67
10,16,38,32,0.62,0.62,0.62
9,13,41,36,0.69,0.69,0.69
11,19,35,28,0.58,0.58,0.58
12,17,36,32,0.71,0.71,0.71
15,20,40,38,0.75,0.75,0.75
15,17,39,34,0.88,0.88,0.88
14,20,39,39,0.7,0.7,0.7
15,16,40,33,0.94,0.94,0.94
16,14,44,39,1.14,1.14,1.14
13,11,43,38,1.18,1.18,1.18
9,13,38,34,0.69,0.69,0.69
18,13,40,36,1.38,1.38,1.38
18,10,39,38,1.8,1.8,1.8
20,7,39,39,2.86,2.86,2.86
16,11,36,37,1.45,1.45,1.45
15,12,37,30,1.25,1.25,1.25
15,10,37,36,1.5,1.5,1.5
13,15,33,35,0.87,0.87,0.87
14,16,35,35,0.88,0.88,0.88
15,12,33,39,1.25,1.25,1.25
14,11,33,27,1.27,1.27,1.27
10,11,36,28,0.91,0.91,0.91
10,11,31,35,0.91,0.91,0.91
14,7,27,30,2.0,2.0,2.0
12,8,31,30,1.5,1.5,1.5
21,9,36,37,2.33,2.33,2.33
19,8,36,36,2.38,2.38,2.38
16,6,39,30,2.67,2.67,2.67
18,7,30,34,2.57,2.57,2.57
15,9,27,28,1.67,1.67,1.67
18,3,34,30,6.0,6.0,6.0
15,2,29,29,7.5,7.5,7.5
18,2,40,33,9.0,9.0,9.0
9,1,31,29,9.0,9.0,9.0
11,4,35,31,2.75,2.75,2.75
16,3,31,35,5.33,5.33,5.33
10,4,30,27,2.5,2.5,2.5
10,3,33,31,3.33,3.33,3.33
11,5,36,31,2.2,2.2,2.2
15,5,35,36,3.0,3.0,3.0
17,3,34,36,5.67,5.67,5.67
16,2,35,30,8.0,8.0,8.0
14,6,34,29,2.33,2.33,2.33
13,4,33,32,3.25,3.25,3.25
6,9,33,37,0.67,0.67,0.67
13,5,25,40,2.6,2.6,2.6
10,12,23,35,0.83,0.83,0.83
9,11,26,28,0.82,0.82,0.82
3,8,23,35,0.38,0.38,0.38
11,9,21,30,1.22,1.22,1.22
12,7,33,43,1.71,1.71,1.71
8,4,30,30,2.0,2.0,2.0
11,4,29,35,2.75,2.75,2.75
3,4,22,35,0.75,0.75,0.75
5,11,26,26,0.45,0.45,0.45
7,13,23,41,0.54,0.54,0.54
10,12,23,40,0.83,0.83,0.83
5,14,23,32,0.36,0.36,0.36
9,13,22,31,0.69,0.69,0.69
11,10,23,34,1.1,1.1,1.1
8,12,22,34,0.67,0.67,0.67
12,13,24,42,0.92,0.92,0.92
7,14,19,37,0.5,0.5,0.5
9,11,24,41,0.82,0.82,0.82
11,9,22,40,1.22,1.22,1.22
11,12,24,35,0.92,0.92,0.92
6,11,19,36,0.55,0.55,0.55
7,10,21,31,0.7,0.7,0.7
6,6,19,35,1.0,1.0,1.0
4,6,17,34,0.67,0.67,0.67
8,7,21,32,1.14,1.14,1.14
3,8,18,24,0.38,0.38,0.38
2,6,14,26,0.33,0.33,0.33
1,1,13,28,1.0,1.0,1.0
2,5,7,30,0.4,0.4,0.4
2,12,2,28,0.17,0.17,0.17
2,12,3,37,0.17,0.17,0.17
1,12,4,37,0.08,0.08,0.08
1,13,1,39,0.08,0.08,0.08
2,14,1,36,0.14,0.14,0.14
1,24,2,41,0.04,0.04,0.04
1,13,4,32,0.08,0.08,0.08
2,3,8,27,0.67,0.67,0.67
1,2,6,23,0.5,0.5,0.5
1,14,3,22,0.07,0.07,0.07
2,4,4,18,0.5,0.5,0.5
1,10,6,30,0.1,0.1,0.1
1,6,7,23,0.17,0.17,0.17
2,6,4,23,0.33,0.33,0.33
2,8,3,28,0.25,0.25,0.25
1,9,1,25,0.11,0.11,0.11
